convertTime,load,temp,rpm,speed,fuel,mileage,voltage,latitude,longtitude,distance
2018-05-05 14:00:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-05 14:00:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:00:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:00:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:00:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:00:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:00:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:00:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:00:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:00:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:00:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:01:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:02:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:03:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:03:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:03:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-05 14:03:29,25.1,85.0,1031.0,23.0,18.196,16702.0,14.0,0.0,0.0,0.0
2018-05-05 14:03:39,63.53,85.0,1618.0,27.0,18.508000000000003,16702.0,14.0,0.0,0.0,0.0
2018-05-05 14:03:49,38.43,84.0,857.0,6.0,17.1,16702.0,14.0,0.0,0.0,0.0
2018-05-05 14:03:59,75.69,84.0,1993.0,30.0,17.568,16703.0,14.0,0.0,0.0,0.0
2018-05-05 14:04:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
